section,size,addr,symbol,file,kind,classification
.time_critical.timer_callback0,16,0x20000110,timer_callback0,main.c.obj,RAM-code(TC),runtime
.time_critical.core1_entry,136,0x20000120,core1_entry,main.c.obj,RAM-code(TC),runtime
.time_critical.get_uticks,12,0x200001a8,get_uticks,main.c.obj,RAM-code(TC),runtime
.time_critical.set_flash_timings,140,0x200001b4,set_flash_timings,main.c.obj,RAM-code(TC),init-only (MUST stay in RAM: reconfigs flash/clock/psram)
.time_critical.reconfigure_clocks,168,0x20000240,reconfigure_clocks,main.c.obj,RAM-code(TC),init-only (MUST stay in RAM: reconfigs flash/clock/psram)
.time_critical.,576,0x200002e8,,i386.c.obj,RAM-code(TC),runtime
.time_critical.pc_service_impl,148,0x20000528,pc_service_impl,pc.c.obj,RAM-code(TC),runtime
.time_critical.midi_sample,1404,0x200005bc,midi_sample,pc.c.obj,RAM-code(TC),runtime
.time_critical.pc_service,8,0x20000b38,pc_service,pc.c.obj,RAM-code(TC),runtime
.time_critical.pc_step,136,0x20000b40,pc_step,pc.c.obj,RAM-code(TC),runtime
.time_critical.iomem_read8,36,0x20000bc8,iomem_read8,pc.c.obj,RAM-code(TC),runtime
.time_critical.iomem_write8,44,0x20000bec,iomem_write8,pc.c.obj,RAM-code(TC),runtime
.time_critical.iomem_read16,104,0x20000c18,iomem_read16,pc.c.obj,RAM-code(TC),runtime
.time_critical.iomem_write16,48,0x20000c80,iomem_write16,pc.c.obj,RAM-code(TC),runtime
.time_critical.iomem_read32,216,0x20000cb0,iomem_read32,pc.c.obj,RAM-code(TC),runtime
.time_critical.iomem_write32,48,0x20000d88,iomem_write32,pc.c.obj,RAM-code(TC),runtime
.time_critical.midi2,948,0x20000db8,midi2,pc.c.obj,RAM-code(TC),runtime
.time_critical.,38800,0x2000116c,,cpu.c.obj,RAM-code(TC),runtime
.time_critical.cpu.pf,256,0x2000a8fc,cpu.pf,cpu.c.obj,RAM-code(TC),runtime
.time_critical.get_PC,12,0x2000a9fc,get_PC,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.psram_size,8,0x2000aa08,psram_size,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.nf_memset,112,0x2000aa10,nf_memset,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.dos_api_memcpy,264,0x2000aa80,dos_api_memcpy,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.dos_api_memcmp,128,0x2000ab88,dos_api_memcmp,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.dos_phys_write32,76,0x2000ac08,dos_phys_write32,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.dos_phys_write16,76,0x2000ac54,dos_phys_write16,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.dos_phys_write8,76,0x2000aca0,dos_phys_write8,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.dos_phys_read32,76,0x2000acec,dos_phys_read32,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.dos_phys_read16,76,0x2000ad38,dos_phys_read16,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.dos_phys_read8,76,0x2000ad84,dos_phys_read8,dos_api.c.obj,RAM-code(TC),runtime
.time_critical.kbd_step,120,0x2000add0,kbd_step,i8042.c.obj,RAM-code(TC),runtime
.time_critical.i8254_update_irq,156,0x2000ae48,i8254_update_irq,i8254.c.obj,RAM-code(TC),runtime
.time_critical.pit_get_gate,12,0x2000aee4,pit_get_gate,i8254.c.obj,RAM-code(TC),runtime
.time_critical.pit_get_initial_count,12,0x2000aef0,pit_get_initial_count,i8254.c.obj,RAM-code(TC),runtime
.time_critical.pit_get_mode,12,0x2000aefc,pit_get_mode,i8254.c.obj,RAM-code(TC),runtime
.time_critical.i8257_dma_hold_DREQ,20,0x2000af08,i8257_dma_hold_DREQ,i8257.c.obj,RAM-code(TC),runtime
.time_critical.i8257_dma_release_DREQ,24,0x2000af1c,i8257_dma_release_DREQ,i8257.c.obj,RAM-code(TC),runtime
.time_critical.i8257_dma_run,284,0x2000af34,i8257_dma_run,i8257.c.obj,RAM-code(TC),runtime
.time_critical.pic_get_irq,156,0x2000b050,pic_get_irq,i8259.c.obj,RAM-code(TC),runtime
.time_critical.i8259_set_irq,120,0x2000b0ec,i8259_set_irq,i8259.c.obj,RAM-code(TC),runtime
.time_critical.vga_refresh,68,0x2000b164,vga_refresh,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_ioport_read,288,0x2000b1a8,vga_ioport_read,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_ioport_write,488,0x2000b2c8,vga_ioport_write,vga.c.obj,RAM-code(TC),runtime
.time_critical.,372,0x2000b4b0,,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_mem_write,364,0x2000b624,vga_mem_write,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_mem_read,200,0x2000b790,vga_mem_read,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_get_text_cols,24,0x2000b858,vga_get_text_cols,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_get_mode,24,0x2000b870,vga_get_mode,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_get_cursor_info,156,0x2000b888,vga_get_cursor_info,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_get_palette,8,0x2000b924,vga_get_palette,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_is_palette_dirty,16,0x2000b92c,vga_is_palette_dirty,vga.c.obj,RAM-code(TC),runtime
.time_critical.vga_get_palette16,124,0x2000b93c,vga_get_palette16,vga.c.obj,RAM-code(TC),runtime
